brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
Kia,Auto,0.0,250786.0,724000.0,272000.0,0.0,0.00794281537785762,0.002429530201342282,0.010074074074074074,0.005063980099370664
betsson,Scommesse,280000.0,864000.0,0.0,46200.0,0.0017283950617283952,0.027364336472007946,0.0,0.0017111111111111112,0.004963662816480204
ups,Logistica,2000000.0,279764.0,253000.0,59600.0,0.012345679012345678,0.008860597486984758,0.000848993288590604,0.0022074074074074075,0.004757595298745782
Evian,Bevande,1500000.0,37567.0,176000.0,220000.0,0.009259259259259259,0.0011898102178749103,0.0005906040268456376,0.008148148148148147,0.0046814792383735055
Goodyear,Pneumatici,3200000.0,38858.0,274000.0,14600.0,0.019753086419753086,0.0012306983641542648,0.0009194630872483221,0.0005407407407407407,0.004619256341332892
axa,Assicurazioni,3100000.0,82569.0,73600.0,11500.0,0.019135802469135803,0.002615099419163454,0.0002469798657718121,0.00042592592592592595,0.004433646137499591
Barilla,Alimentari,2700000.0,18679.0,203000.0,67500.0,0.016666666666666666,0.0005915954177785144,0.0006812080536912752,0.0025,0.004410495464792057
Mizuno,Abbigliamento Sportivo,2200000.0,294438.0,119000.0,9570.0,0.013580246913580247,0.009325347803408653,0.0003993288590604027,0.00035444444444444445,0.004360949987231822
dhl,Logistica,1700000.0,101140.0,271000.0,126000.0,0.010493827160493827,0.0032032742948829673,0.0009093959731543624,0.004666666666666667,0.004297545166935237
pirelli,Pneumatici,2200000.0,131829.0,431000.0,35000.0,0.013580246913580247,0.004175246658296685,0.0014463087248322147,0.0012962962962962963,0.004237433324040717
Decathlon,E-Commerceretail,1900000.0,166740.0,315000.0,52300.0,0.011728395061728396,0.0052809368788687555,0.0010570469798657717,0.001937037037037037,0.004088897098240124
hankook,Pneumatici,711658.0,0.0,227000.0,233000.0,0.004392950617283951,0.0,0.000761744966442953,0.00862962962962963,0.0037340897506007126
Siemens,Altro,1600000.0,210226.0,316000.0,26100.0,0.009876543209876543,0.006658211804588359,0.0010604026845637583,0.0009666666666666667,0.0036351813522608775
ubs,Banche,253638.0,503493.0,171000.0,39200.0,0.0015656666666666666,0.015946472064005436,0.0005738255033557047,0.001451851851851852,0.0033414986246642006
wind 3,Compagnie Telefoniche ,2000000.0,13237.0,76400.0,61700.0,0.012345679012345678,0.0004192381040277421,0.0002563758389261745,0.0022851851851851852,0.0033073086172530136
