brand,league,facebook,x,instagram,youtube
Adidas,Laliga,42000000.0,758808.0,1500000.0,2200000.0
Nike,Laliga,39000000.0,9595423.0,298000000.0,2210000.0
Puma,Laliga,22000000.0,1856971.0,13000000.0,904000.0
New Balance,Laliga,9700000.0,21470.0,8700000.0,194000.0
Joma,Laliga,534160.0,44760.0,232000.0,8300.0
Castore,Laliga,87969.0,5622.0,256000.0,1630.0
Hummel,Laliga,2000000.0,42696.0,199000.0,4250.0
Macron,Laliga,195166.0,47013.0,185000.0,2470.0
Kelme,Laliga,61250.0,322000.0,109000.0,35000.0
Adidas,Segunda División,42000000.0,758808.0,1500000.0,2200000.0
Nike,Segunda División,39000000.0,9595423.0,298000000.0,2210000.0
Puma,Segunda División,22000000.0,1856971.0,13000000.0,904000.0
Joma,Segunda División,534160.0,44760.0,232000.0,8300.0
Kappa,Segunda División,1100000.0,24061.0,933000.0,4650.0
Macron,Segunda División,195166.0,47013.0,185000.0,2470.0
Hummel,Segunda División,2000000.0,42696.0,199000.0,4250.0
Castore,Segunda División,87969.0,5622.0,256000.0,1630.0
Kelme,Segunda División,61250.0,322000.0,109000.0,35000.0
Umbro,Segunda División,757923.0,7838.0,862000.0,16500.0
Skita,Liga Portugal,10309.0,,4280.0,
Nike,Liga Portugal,39000000.0,9595385.0,298000000.0,2210000.0
adidas,Liga Portugal,22000000.0,4119589.0,29400000.0,2200000.0
Puma,Liga Portugal,534160.0,1856955.0,13000000.0,904000.0
Kappa,Liga Portugal,1100000.0,24061.0,933000.0,4650.0
Umbro,Liga Portugal,757923.0,7838.0,862000.0,16500.0
Joma,Liga Portugal,534160.0,44760.0,232000.0,8300.0
CDT,Liga Portugal,8941.0,,3253.0,
New Balance,Liga Portugal,9700000.0,311333.0,8700000.0,194000.0
Macron,Liga Portugal,757923.0,165598.0,862000.0,16500.0
Joma,Segunda Liga,534160.0,44760.0,232000.0,8300.0
adidas,Segunda Liga,22000000.0,4119589.0,29400000.0,2200000.0
Kelme,Segunda Liga,61250.0,322000.0,109000.0,35000.0
G Sport,Segunda Liga,7946.0,,35200.0,
Macron,Segunda Liga,757923.0,165598.0,862000.0,16500.0
New Balance,Segunda Liga,9700000.0,311333.0,8700000.0,194000.0
Kappa,Segunda Liga,1100000.0,24061.0,933000.0,4650.0
Lacatoni,Segunda Liga,33163.0,871000.0,8928.0,76000.0
Umbro,Segunda Liga,757923.0,7838.0,862000.0,16500.0
Puma,Segunda Liga,534160.0,1856955.0,13000000.0,904000.0
Nike,Segunda Liga,39000000.0,9595385.0,298000000.0,2210000.0
CDT,Segunda Liga,8941.0,,3253.0,
Nike,Pro League,39000000.0,9595385.0,298000000.0,2210000.0
Joma,Pro League,531000.0,44770.0,231000.0,8300.0
Stanno,Pro League,22506.0,33000.0,8072.0,496000.0
Puma,Pro League,534160.0,1856955.0,13000000.0,904000.0
Kipsta,Pro League,220523.0,3030.0,54400.0,17800.0
Castore,Pro League,87969.0,5622.0,256000.0,1630.0
Mills,Pro League,12982.0,,488000.0,82300.0
Craft,Pro League,44536.0,6468.0,216000.0,61900.0
Erreà,Pro League,329511.0,19137.0,80700.0,1330.0
Olympic Sportswear,Pro League,1515.0,,348000.0,
Macron,Pro League,195000.0,47036.0,184000.0,2470.0
Patrick,Pro League,6356.0,,3127.0,35000.0
adidas,Eredivise,22000000.0,4119589.0,29400000.0,2200000.0
Nike,Eredivise,39000000.0,9595385.0,298000000.0,2210000.0
Robey,Eredivise,8729.0,1877.0,18200.0,48000.0
Castore,Eredivise,87969.0,5622.0,256000.0,1630.0
Stanno,Eredivise,22506.0,33000.0,8072.0,496000.0
Macron,Eredivise,195000.0,47036.0,184000.0,2470.0
Acerbis,Eredivise,10717.0,2346.0,6737.0,4430.0
New Balance,Premjer-Liha,9500000.0,311388.0,8700000.0,194000.0
Bavovna,Premjer-Liha,21705.0,441000.0,9376.0,9670.0
Nike,Premjer-Liha,39000000.0,9595385.0,298000000.0,2210000.0
SKIDAN,Premjer-Liha,,,15300.0,
Kelme,Premjer-Liha,61250.0,322000.0,109000.0,35000.0
Macron,Premjer-Liha,195000.0,47036.0,184000.0,2470.0
Puma,Premjer-Liha,22000000.0,1857326.0,13000000.0,904000.0
Jako,Premjer-Liha,142027.0,,,1030.0
ARTY,Premjer-Liha,,,,
Kappa,Premjer-Liha,1100000.0,3723.0,933000.0,4630.0
Buntar,Premjer-Liha,211000.0,,,
