brand,category,facebook,x,instagram,youtube
honda,Auto,5600000.0,1160996.0,6100000.0,664000.0
Hyundai,Auto,,360786.0,1500000.0,903000.0
Kia,Auto,,250786.0,724000.0,272000.0
nissan,Auto,22000000.0,751165.0,7400000.0,266000.0
renault,Auto,18000000.0,131698.0,180000.0,87400.0
BNL BNP Paribas,Banche,238145.0,1917.0,2674.0,10500.0
Reale Mutua,Banche,64656.0,16361.0,34700.0,3830.0
Unicredit,Banche,552374.0,39350.0,30800.0,19900.0
Intesa San Paolo,Banche,518419.0,18281.0,76000.0,186000.0
Mediolanum,Banche,181410.0,9680.0,47800.0,39300.0
Banca popolare di Milano,Banche,11855.0,2109.0,5667.0,1350.0
bper banca,Banche,250481.0,4956.0,26400.0,9530.0
hsbc,Banche,3000000.0,193849.0,76300.0,61300.0
Barclays,Banche,625108.0,298042.0,76200.0,30800.0
santander,Banche,7974.0,99229.0,29300.0,20500.0
credit suisse,Banche,160715.0,363877.0,20900.0,
ubs,Banche,253638.0,503493.0,171000.0,39200.0
crypto.com,Criptovalute,694058.0,506351.0,1200000.0,105000.0
binance,Criptovalute,2400000.0,15404953.0,4800000.0,1220000.0
socios.com,Criptovalute,272882.0,292516.0,340000.0,9820.0
okx,Criptovalute,204041.0,5697995.0,663000.0,254000.0
bitget,Criptovalute,1200000.0,4479232.0,72200.0,1150000.0
bybit,Criptovalute,4400000.0,4939038.0,436000.0,81300.0
coinbase,Criptovalute,414245.0,6724199.0,553000.0,122000.0
snaitech,Scommesse,,,1992.0,2160.0
sisal,Scommesse,,,66300.0,16100.0
betsson,Scommesse,280000.0,864000.0,,46200.0
betway,Scommesse,252041.0,140409.0,,30000.0
bet365,Scommesse,,482720.0,,8050.0
bwin,Scommesse,,57430.0,,83000.0
lottomatica,Scommesse,,,9421000.0,1000.0
enel,Energia,1000000.0,26271.0,75300.0,23900.0
eni,Energia,321588.0,65400.0,59600.0,25400.0
Edison,Energia,75060.0,9148.0,14600.0,7510.0
a2a,Energia,37235.0,6620.0,22500.0,6890.0
hera,Energia,6439.0,7110.0,13300.0,11300.0
Emirates,Aviazione,12000000.0,1695409.0,8600000.0,1890000.0
qatar,Aviazione,30000000.0,1895672.0,8000000.0,6360000.0
etihad,Aviazione,5000000.0,814281.0,2600000.0,343000.0
aeroitalia,Aviazione,29399.0,400000.0,19200.0,
ita airways,Aviazione,93321.0,14971.0,139000.0,9740.0
turkish Airlines,Aviazione,10000000.0,1758943.0,2800000.0,602000.0
Singapore Airlines,Aviazione,4300000.0,747268.0,1700000.0,129000.0
dhl,Logistica,1700000.0,101140.0,271000.0,126000.0
fedex,Logistica,3100000.0,321302.0,365000.0,127000.0
ups,Logistica,2000000.0,279764.0,253000.0,59600.0
poste italiane,Logistica,682422.0,83840.0,106000.0,56800.0
gls,Logistica,,,,
brt,Logistica,,1191.0,,2180.0
Samsung,Tecnologia,162000000.0,750410.0,2600000.0,7710000.0
apple,Tecnologia,15000000.0,9939381.0,35600000.0,20600000.0
Microsoft,Tecnologia,13000000.0,13083999.0,4500000.0,2180000.0
google,Tecnologia,34000000.0,31573943.0,15700000.0,13900000.0
intel,Tecnologia,35000000.0,4469933.0,1800000.0,567000.0
Logitech,Tecnologia,3500000.0,335527.0,839000.0,152000.0
razer,Tecnologia,10000000.0,3080422.0,7400000.0,2000000.0
twitch,Tecnologia,1700000.0,9593615.0,6100000.0,
konami,Tecnologia,2600000.0,1406871.0,731000.0,201000.0
huawei,Tecnologia,58000000.0,10220067.0,2000000.0,2160000.0
xiamoi,Tecnologia,16000000.0,4345973.0,295000.0,6280000.0
asus,Tecnologia,26000000.0,988592.0,3400000.0,1320000.0
sony,Tecnologia,8500000.0,6139391.0,3200000.0,726000.0
lg,Tecnologia,45000000.0,350910.0,57700.0,471000.0
lenovo,Tecnologia,6600000.0,713664.0,1300000.0,390000.0
hp,Tecnologia,4600000.0,1097129.0,1700000.0,280000.0
nikon,Tecnologia,14000000.0,,205000.0,252000.0
canon,Tecnologia,4400000.0,42225.0,129000.0,154000.0
